case_id,case_outcome,case_title,case_text
Case1019,followed,Silk Bros. Proprietary Limited v State Electricity Commission of Victoria [1943] HCA 2 ; (1943) 67 CLR 1,"considerations apply to the heading of Division 13A of Part 2 of the Migration Act which also contains the word 'offences.' Pursuant to s 13(1) of the Acts Interpretation Act a heading of a Division is part of the Act. In Silk Bros. Proprietary Limited v State Electricity Commission of Victoria [1943] HCA 2 ; (1943) 67 CLR 1 , Latham CJ said at 16: The headings in a statute...can be taken into consideration in determining the meaning of a provision where that provision is ambiguous, and may sometimes be of service in determining the scope of a provision... ""But where the enacting words are clear and unambiguous, the title, or headings, must give way, and the full effect must be given to the enactment"" ( Bennett v. Minister for Public Works (N.S.W.) [1908] HCA 50 ; (1908) 7 C.L.R. 372 at 383). The Court finds that there is no ambiguity in the text of s 261A. The section speaks of the contravention of the Migration Act as a whole. Ambiguity might arise when that section is read with the heading to the Division, but as observed by Latham CJ, the headings may provide guidance only when the provision itself is ambiguous. Following from the finding that the provision is unambiguous the text of the heading must give way. It may be assumed that if Parliament had intended automatic forfeiture to occur only where 'offences' existed, it would have been a simple matter for the draftsperson to have so provided, taking into consideration the choice of the word 'offences' in the heading of Division 13A of Part 2. It follows that the operation of the automatic forfeiture provision in s 261A of the Migration Act is not limited only to contraventions of the offence provisions of that Act nor is it dependent upon a conviction for an offence. The Court reiterates its finding at [31] of Tran No 1 . Has there been a contravention of the Migration Act ? As has been outlined in [18]-[20] of this judgment, ordinarily the Court cannot revisit a previous judgment that it has made. In Tran No. 1 at [31] the Court found that the Migration Act had been contravened by the applicant. However, a reading of that paragraph also records that the Court provided such answer within the context of a submission by the applicant that 'contravention' in s 261A should be made to be equated with 'offence' in order to enliven an automatic forfeiture. This Court, as stated at [33] of this judgment, finds that the word 'contravention' in s 261A means contravention of the Migration Act generally and not only of the offence provisions, and that contravention is not to be interpreted as being confined to conviction for an offence. The applicant has made a different submission at the subsequent hearing. The applicant now submits that, as a consequence of the acquittals or discontinuance of actions against the applicant, Mr Lai and Mr Nguyen, the automatic forfeiture never took place because the facts giving rise to automatic forfeiture under s 261A , namely contravention of the Migration Act , were never present. Such a submission does not depend on contravention being equated to an offence, nor to conviction of an offence. As was stated at [30]-[31] of Tran No. 1 , following the decision of French J in Olbers , for the automatic forfeiture to arise the Court ' must be satisfied to a high degree of probability ' that contraventions of the Migration Act exist. In Tran No. 1 the Court stated that it was so satisfied but only in the narrow context of that which was submitted relating to the meaning of the word contravention. The new submissions justify the Court considering the new submissions separately to the decision already made even though a different interpretation of the same facts may result in a conclusion incompatible to the answers already given in Tran No. 1 ."
Case1020,cited,The Commonwealth of Australia v WMC Resources Limited [1998] HCA 8 ; (1998) 194 CLR 1,the reasons in Tran No. 1 at [50]-[54] the Court reiterates that no compensation is payable since s 51(xxxi) of the Constitution does not operate in respect of the forfeiture. The ship was validly forfeited. No question of payment of compensation arises where the forfeiture results from the incidental exercise of power under the Migration Act since s 51(xxxi) ' applies only to acquisitions of a kind that permit of just terms ': see Newcrest Mining (WA) Limited and Another v The Commonwealth of Australia and Another [1997] HCA 38 ; (1997) 190 CLR 513 per Gummow J at 595; see authorities referred to in Tran No. 1 at [51]-[53]; see also Mutual Pools &amp; Staff Pty. Limited v The Commonwealth of Australia [1994] HCA 9 ; (1994) 179 CLR 155 per Brennan J at 177; The Commonwealth of Australia v WMC Resources Limited [1998] HCA 8 ; (1998) 194 CLR 1 per Brennan CJ at [10]-[13]; Gaudron J at [75]-[79]. The concept that compensation might be payable in circumstances where forfeiture has resulted from a contravention of a Commonwealth statute is incongruous: see Theophanous v The Commonwealth [2006] HCA 18 ; (2006) 225 CLR 101 at [55] - [61] ; Re Director of Public Prosecutions; Ex parte Lawler and Another [1994] HCA 10 ; (1994) 179 CLR 270 at 289.
Case1021,cited,Theophanous v The Commonwealth [2006] HCA 18 ; (2006) 225 CLR 101,the reasons in Tran No. 1 at [50]-[54] the Court reiterates that no compensation is payable since s 51(xxxi) of the Constitution does not operate in respect of the forfeiture. The ship was validly forfeited. No question of payment of compensation arises where the forfeiture results from the incidental exercise of power under the Migration Act since s 51(xxxi) ' applies only to acquisitions of a kind that permit of just terms ': see Newcrest Mining (WA) Limited and Another v The Commonwealth of Australia and Another [1997] HCA 38 ; (1997) 190 CLR 513 per Gummow J at 595; see authorities referred to in Tran No. 1 at [51]-[53]; see also Mutual Pools &amp; Staff Pty. Limited v The Commonwealth of Australia [1994] HCA 9 ; (1994) 179 CLR 155 per Brennan J at 177; The Commonwealth of Australia v WMC Resources Limited [1998] HCA 8 ; (1998) 194 CLR 1 per Brennan CJ at [10]-[13]; Gaudron J at [75]-[79]. The concept that compensation might be payable in circumstances where forfeiture has resulted from a contravention of a Commonwealth statute is incongruous: see Theophanous v The Commonwealth [2006] HCA 18 ; (2006) 225 CLR 101 at [55] - [61] ; Re Director of Public Prosecutions; Ex parte Lawler and Another [1994] HCA 10 ; (1994) 179 CLR 270 at 289.
Case1022,followed,Tran v The Commonwealth [2008] FCA 901 ; (2008) 103 ALD 290,"16 June 2008 the Court delivered its findings in respect of specific questions which were asked of it pursuant to O 29 r 2 of the Federal Court Rules (Cth): see Tran v The Commonwealth [2008] FCA 901 ; (2008) 103 ALD 290 (' Tran No. 1 '). Since the facts and legislation are set out in that decision, the present decision should be read in conjunction with Tran No. 1 . In Tran No. 1 the Court found that s 261A of the Migration Act 1958 (Cth) ('the Migration Act ') operated to effect an automatic forfeiture of the ship Hao Kiet BL91693TS ('the ship') on or about 1 July 2003 when the ship entered Australia carrying persons who held no valid Australian visas. To answer the specific questions the Court was provided with an agreed statement of facts. The determination of such questions did not finally resolve the rights of the parties since an automatic forfeiture brought about by s 261A of the Migration Act remains contestable: see Tran No. 1 at [45]. The continuation of the hearing in respect of which this judgment is now delivered provided the applicant with the opportunity to provide any evidence upon which he relied to dispute that forfeiture of the ship had occurred. In Tran No. 1 the Court referred to the automatic forfeiture as ' the purported forfeiture ' (at [49]), only as a means of indicating that in these proceedings the applicant could challenge the forfeiture under the mechanism explained in that decision, that is, through the condemnation process. On 9 September 2008 the applicant filed a Further Amended Application seeking a declaration that the ship is not forfeited, or, in the alternative, a declaration that any forfeiture ' including under s 261A of the Migration Act , is revoked ' and further declarations relating to the right of the applicant to possession of the ship. The Further Amended Application also seeks declarations relating to claims for damages arising from the alleged unauthorised destruction and/or loss of possession of the ship. A Further Amended Statement of Claim was also filed on 9 September 2008. The Further Amended Statement of Claim raised the following claim (at [4]): At all material times the Applicant was responding to a sudden and extraordinary emergency and believed that each of the Vietnamese citizens who so fled from Vietnam to Australia were entitled to receive protection from Australia by virtue of the 1951 Convention relating to the Status of Refugees as amended by the 1967 Protocol relating to the Status of Refugee ['the Refugee Convention ']. For these reasons the applicant submits that there is no relevant contravention of the Migration Act , and that in the absence thereof there has been no forfeiture and accordingly the Court should not confirm the automatic forfeiture. The applicant invites the Court to revisit its findings in Tran No. 1 in light of its further submissions. The applicant claims that there has been a trespass to his property or intentional or negligent interference with his property and that just terms are payable under the Customs Act 1901 (Cth) in respect of the loss of the ship. The claim for damages is itemised in the amount of $307,274.85."
Case1023,referred to,Wentworth v Woollahra Municipal Council and Others [1982] HCA 41 ; (1982) 149 CLR 672,"considering the substance of the applicant's claims, it is to be observed that ordinarily the Court cannot revisit its findings. In Wentworth v Woollahra Municipal Council and Others [1982] HCA 41 ; (1982) 149 CLR 672 at 684 Mason ACJ, Wilson and Brennan JJ said:- ...the circumstances in which this Court will reopen a judgment which it has pronounced are extremely rare. The public interest in maintaining the finality of litigation necessarily means that the power to reopen to enable a rehearing must be exercised with great caution. Generally speaking, it will not be exercised unless the applicant can show that by accident without fault on his part he has not been heard. Similarly, Mason CJ in Autodesk Inc. and Another v Dyason and Others (No. 2) [1993] HCA 6 ; (1993) 176 CLR 300 at 303 said that the power of the Court to reconsider judgments would not be exercised for the purpose of ' re-agitating arguments already considered by the Court ', nor ' because the party seeking a rehearing has failed to present the argument in all its aspects or as well as it might have been put '."
Case1024,cited,Whim Creek Consolidated NL v Colgan [1991] FCA 467 ; (1991) 31 FCR 469,"appeal (see Olbers Co Ltd v Commonwealth and Another [2004] FCAFC 262 ; (2004) 143 FCR 449) the Full Court explicitly adopted the findings of French J that forfeiture under s 106A of the FMA took place without conviction for any offence. As to the condemnation procedure provided by s 106B to s 106G of the FMA, the Full Court in Olbers [2004] FCAFC 262 ; 143 FCR 449 , adopting the reasoning in Whim Creek Consolidated NL v Colgan [1991] FCA 467 ; (1991) 31 FCR 469 at 477-478, determined that such provision enabled the recording of the forfeiture having already occured: see Olbers [2004] FCAFC 262 ; 143 FCR 449 at [16] - [17] ; Tran No. 1 at [43]."
Case1025,discussed,Zecevic v Director of Public Prosecutions (Victoria) [1987] HCA 26 ; (1987) 162 CLR 645,"Zecevic v Director of Public Prosecutions (Vict.) [1987] HCA 26 ; (1987) 162 CLR 645 Wilson, Dawson and Toohey JJ discussed the origins of the modern law of self defence. They observed that such defence arose out of a context in which two kinds of defence to homicide, a defence of 'justification' and one of 'excuse', were available. The consequences of each defence were distinct, as their Honours considered at 657-658: Justifiable homicide carried with it commendation rather than blame and accordingly entitled the accused to total acquittal, entailing no forfeiture and requiring no pardon... Excusable homicide, on the other hand, was not entirely without blame and merely excused rather than acquitted, requiring, at first, a pardon and involving, for a somewhat longer period, forfeiture. Such distinctions no longer exist, but this context led their honours to find (at 658) that self defence, ' as we now know it, was essentially exculpatory in origin '. The difference between the defences considered above demonstrates that, at the common law at least, one might be said to a have contravened the law even if a defence to a charge were available. There can be no doubt that the Criminal Code was intended to provide a principled and logical analytical regime for Commonwealth criminal law and thus substantially remove inconsistencies found in the common law. For example, the defence of necessity at common law did not apply to murder: see R v Dudley and Stephens (1884) 14 QBD 273. However, the defence of sudden or extraordinary emergency is not so limited in the Criminal Code and it applies to all Commonwealth offences. The Criminal Code codified a basis for criminal responsibility distinct from that at common law as discussed in R v Oblach [2005] NSWCCA 440 ; (2005) 65 NSWLR 75. Spigelman CJ said of the structure of the Criminal Code (at [28]): Criminal responsibility under the Code arises from the combined effect of the presence of the elements in Pt 2.2 [General Principles of Criminal Responsibility] and the absence or failure of the elements in Pt 2.3 [Circumstances in which there is no Criminal Responsibility]. This structure differs from the position at common law in which it is appropriate to treat certain matters as ""defences"", for example, self defence is ""exculpatory"". ( Zecevic (at 658-659)). [Emphasis added] In an article published in Judicial Review entitled ' The Commonwealth Criminal Code : An Introduction to the General Principle s' the author Ian Leader-Elliot wrote:- Proof of the necessary physical and fault elements does not, of itself, establish guilt. Though all elements of an offence are established against a defendant, guilt may be defeated by reliance on a defence. Chapter 2 [of the Criminal Code ] adopts a binary structure in which ""responsibility"" is a compound resulting from proof of all elements of the offence, combined with disproof or failure of all defences that are open on the evidence... There are, it should be said, significant departures from the common law in the articulation of a number of offences. [(2002) 5 Judicial Review 4 at 301] On such analysis, if the requirements of s 10.3 are satisfied it must follow that there can be no criminal responsibility and therefore no offence."
Case1026,cited,"Duncan v Chief Executive Officer, Centrelink [2008] FCA 56 ; (2008) 100 ALD 292","delivering judgment in the principal proceeding in which I dismissed Mr Duncan's application: see Duncan v Chief Executive Officer, Centrelink [2008] FCA 56 ; (2008) 100 ALD 292 ; I ventured to suggest that this may be an appropriate matter in which to make no order as to costs. Nonetheless I invited submissions on costs. Needless to say each party sought a costs order. Mr Duncan relies upon what he contends was Centrelink's demonstrated ""disdain for the law"" although, as the costs of his pro bono counsel are not being sought, any costs order in his favour would in any event be limited to out-of-pocket expenses: see Cachia v Hanes [1994] HCA 14 ; (1994) 179 CLR 403 ; and see generally Dal Pont, Law of Costs (2003) [7.24] ff. Centrelink's claimed entitlement to a costs award was founded upon the principle that, ordinarily, costs follow the event. It contends that it did not unreasonably provoke the litigation: cf Cummings v Lewis (unreported, Wilcox J, 29 May 1992); the defensive postures it took, though unsuccessful in some degree, were not unreasonable: Australian Conservation Foundation v Forestry Commission (1988) 81 ALR 166 at 169; and the applicant was wholly unsuccessful."
Case1027,cited,Cachia v Hanes [1994] HCA 14 ; (1994) 179 CLR 403,"delivering judgment in the principal proceeding in which I dismissed Mr Duncan's application: see Duncan v Chief Executive Officer, Centrelink [2008] FCA 56 ; (2008) 100 ALD 292 ; I ventured to suggest that this may be an appropriate matter in which to make no order as to costs. Nonetheless I invited submissions on costs. Needless to say each party sought a costs order. Mr Duncan relies upon what he contends was Centrelink's demonstrated ""disdain for the law"" although, as the costs of his pro bono counsel are not being sought, any costs order in his favour would in any event be limited to out-of-pocket expenses: see Cachia v Hanes [1994] HCA 14 ; (1994) 179 CLR 403 ; and see generally Dal Pont, Law of Costs (2003) [7.24] ff. Centrelink's claimed entitlement to a costs award was founded upon the principle that, ordinarily, costs follow the event. It contends that it did not unreasonably provoke the litigation: cf Cummings v Lewis (unreported, Wilcox J, 29 May 1992); the defensive postures it took, though unsuccessful in some degree, were not unreasonable: Australian Conservation Foundation v Forestry Commission (1988) 81 ALR 166 at 169; and the applicant was wholly unsuccessful."
Case1028,cited,"Cummings v Lewis (unreported, Wilcox J, 29 May 1992)","delivering judgment in the principal proceeding in which I dismissed Mr Duncan's application: see Duncan v Chief Executive Officer, Centrelink [2008] FCA 56 ; (2008) 100 ALD 292 ; I ventured to suggest that this may be an appropriate matter in which to make no order as to costs. Nonetheless I invited submissions on costs. Needless to say each party sought a costs order. Mr Duncan relies upon what he contends was Centrelink's demonstrated ""disdain for the law"" although, as the costs of his pro bono counsel are not being sought, any costs order in his favour would in any event be limited to out-of-pocket expenses: see Cachia v Hanes [1994] HCA 14 ; (1994) 179 CLR 403 ; and see generally Dal Pont, Law of Costs (2003) [7.24] ff. Centrelink's claimed entitlement to a costs award was founded upon the principle that, ordinarily, costs follow the event. It contends that it did not unreasonably provoke the litigation: cf Cummings v Lewis (unreported, Wilcox J, 29 May 1992); the defensive postures it took, though unsuccessful in some degree, were not unreasonable: Australian Conservation Foundation v Forestry Commission (1988) 81 ALR 166 at 169; and the applicant was wholly unsuccessful."
